rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b|A00|Anderssen's Opening|
rnbqkbnr/pppp1ppp/8/4p3/P6P/8/1PPPPPP1/RNBQKBNR b|A00|Crab Opening|
rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b|A00|Ware (Meadow Hay) Opening|
rnbqkb1r/5ppp/p3pn2/1pp5/2BP4/4PN2/PP2QPPP/RNB2RK1 w|D28|Queen's gambit accepted|Classical, 7...b5|
rnbqkb1r/1p3ppp/p3pn2/2p5/2BP4/4PN2/PP2QPPP/RNB2RK1 b|D28|Queen's gambit accepted|Classical, 7.Qe2|
rnbqkb1r/1p3ppp/p3pn2/2p5/2BP4/4PN2/PP3PPP/RNBQ1RK1 w|D27|Queen's gambit accepted|Classical, 6...a6|
rnbqkb1r/pp3ppp/4pn2/8/2Bp4/4PN2/PP3PPP/RNBQ1RK1 w|D26|Queen's gambit accepted|Classical, Steinitz Variation |
rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/4PN2/PP3PPP/RNBQ1RK1 b|D26|Queen's gambit accepted|Classical Variation , 6.O-O|
r1bqk2r/5ppp/p1n1pn2/1pb1P3/2B5/5N2/PP2QPPP/RNB2RK1 b|D26|Queen's gambit accepted|Classical, Furman Variation |
rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/4PN2/PP3PPP/RNBQK2R w|D26|Queen's gambit accepted|Classical Variation |
rnbqkb1r/ppp2ppp/4pn2/8/2pP4/4PN2/PP3PPP/RNBQKB1R w|D26|Queen's gambit accepted|4...e6|
rnbqkb1r/ppp1pp1p/5np1/8/2pP4/4PN2/PP3PPP/RNBQKB1R w|D25|Queen's gambit accepted, Smyslov Variation |Mannheim Variation |
rnbqkb1r/ppp1pppp/5n2/8/2pP4/4PN2/PP3PPP/RNBQKB1R b|D25|Queen's gambit accepted, 4.e3|Mannheim Variation |
rnbqkb1r/1pp1pppp/p4n2/8/2pPP3/2N2N2/PP3PPP/R1BQKB1R b|D24|Queen's gambit accepted, bogolyubov Variation |Mannheim Variation |
rnbqkb1r/ppp1pppp/5n2/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R b|D24|Queen's gambit accepted, 4.Nc3|Mannheim Variation |
rnbqkb1r/ppp1pppp/5n2/8/Q1pP4/5N2/PP2PPPP/RNB1KB1R b|D23|Queen's gambit accepted|Mannheim Variation |
rnbqkb1r/ppp1pppp/5n2/8/2pP4/5N2/PP2PPPP/RNBQKB1R w|D23|Queen's gambit accepted|Haberditz Variation |
rnbqkbnr/ppp1pppp/8/8/2pP4/5N2/PP2PPPP/RNBQKB1R b|D21|Queen's gambit accepted|3.Nf3|
rnbqkbnr/ppp1pppp/8/8/2pP4/8/PP2PPPP/RNBQKBNR w|D20|Queen's gambit accepted|Dutch, Saemisch Variation |
rnbqk1nr/ppp2ppp/8/4P3/1bP5/4p3/PP1B1PPP/RN1QKBNR w|D08|QGD|Albin counter-gambit, Lasker trap|
r1bqkbnr/ppp2ppp/2n5/4P3/2Pp4/5NP1/PP2PP1P/RNBQKB1R b|D09|QGD|Albin counter-gambit, 5.g3|
r3k1nr/ppp1qppp/2n5/4P3/1bPp4/5N1P/PP1BPPP1/R2QKB1R w|D08|QGD|Albin counter-gambit, Krenosz Variation |
r1bqkbnr/ppp3pp/2n2p2/4P3/2Pp4/5N2/PP1NPPPP/R1BQKB1R w|D08|QGD|Albin counter-gambit, Janowski Variation |
r1b1kbnr/ppp1qppp/2n5/4P3/2Pp4/5N2/PP1NPPPP/R1BQKB1R w|D08|QGD|Albin counter-gambit, balogh Variation |
r1bqkbnr/ppp2ppp/2n5/4P3/2Pp4/5N2/PP1NPPPP/R1BQKB1R b|D08|QGD|Albin counter-gambit, Alapin Variation |
rnbqkbnr/ppp2ppp/8/4P3/2Pp4/5N2/PP2PPPP/RNBQKB1R b|D08|QGD|Albin counter-gambit|
rnbqkbnr/ppp2ppp/8/3pp3/2PP4/8/PP2PPPP/RNBQKBNR w|D08|QGD|Albin counter-gambit|
rnbqkbnr/1pp2ppp/p3p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w|D31|QGD|Janowski Variation |
rnbqkbnr/p1p2ppp/1p2p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w|D31|QGD|Alapin Variation |
rnbqk1nr/ppp1bppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w|D31|QGD|Charousek (Petrosian) Variation |
rnbqkbnr/pp3ppp/4p3/3P4/3p4/2N5/PP2PPPP/R1BQKBNR w|D32|QGD|Tarrasch, von Hennig-Schara gambit|
rnbqkbnr/p4ppp/8/1pP5/N2p4/8/PP2PPPP/R1BQKBNR w|D32|QGD|Tarrasch defense, Tarrasch gambit|
rnbqkbnr/pp3ppp/8/2pp4/3PP3/2N5/PP3PPP/R1BQKBNR b|D32|QGD|Tarrasch defense, Marshall gambit|
r1bqkbnr/pp3ppp/2n5/3p4/2pPP3/2N2NP1/PP3P1P/R1BQKB1R b|D33|QGD|Tarrasch, Schlechter-Rubinstein system, Rey Ardid Variation |
r1bqkbnr/pp3ppp/2n5/3p4/2pP4/2N2NP1/PP2PP1P/R1BQKB1R w|D33|QGD|Tarrasch, Folkestone (Swedish) Variation |
r2q1rk1/pp2bppp/2n1bn2/3p2B1/2pP4/2N2NP1/PP2PPBP/2RQ1RK1 w|D34|QGD|Tarrasch, bogolyubov Variation |
r2q1rk1/p3bppp/1pn1bn2/2pp2B1/3P4/2N2NP1/PP2PPBP/2RQ1RK1 w|D34|QGD|Tarrasch, Stoltz Variation |
r1bq1rk1/pp2bppp/2n2n2/2pp2B1/3P4/2N2NP1/PP2PPBP/R2Q1RK1 b|D34|QGD|Tarrasch, Prague Variation , 9.bg5|
r1bq1rk1/pp3ppp/2n2n2/2bp4/N7/5NP1/PP2PPBP/R1BQ1RK1 b|D34|QGD|Tarrasch, Reti Variation |
r1bq1rk1/pp2bppp/2n2n2/2pp4/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 w|D34|QGD|Tarrasch, Prague Variation , Normal position|
r1bqk2r/pp2bppp/2n2n2/2pp4/3P4/2N2NP1/PP2PPBP/R1BQK2R w|D34|QGD|Tarrasch, Prague Variation , 7...be7|
r2qkb1r/pp3ppp/2n2n2/2pp4/3P2b1/2N2NP1/PP2PPBP/R1BQK2R w|D33|QGD|Tarrasch, Wagner Variation |
r1bqkb1r/pp3ppp/2n2n2/2pp4/3P4/2N2NP1/PP2PP1P/R1BQKB1R w|D33|QGD|Tarrasch, Prague Variation |
r1bqkbnr/pp3ppp/2n5/2pp4/3P4/2N2NP1/PP2PP1P/R1BQKB1R b|D33|QGD|Tarrasch, Schlechter-Rubinstein system|
rnbqkbnr/pp3ppp/8/2pp4/3P4/2N2N2/PP2PPPP/R1BQKB1R b|D32|QGD|Tarrasch defense|
rnbqkbnr/pp3ppp/8/2pp4/3P4/2N5/PP2PPPP/R1BQKBNR w|D32|QGD|Tarrasch defense, 4.cd ed|
rnbqkbnr/pp3ppp/4p3/2pp4/2PP4/2N5/PP2PPPP/R1BQKBNR w|D32|QGD|Tarrasch defense|
rnbqkbnr/pp3ppp/2p1p3/3p4/2PPP3/2N5/PP3PPP/R1BQKBNR b|D31|QGD|Semi-Slav, Marshall gambit|
rnbqk1nr/5ppp/2p1p3/pp6/PbpP4/2N1PN2/1P1B1PPP/R2QKB1R w|D31|QGD|Semi-Slav, Abrahams Variation |
rnb1k1nr/p4ppp/1qp1p3/1p6/PbpP4/2N1PN2/1P1B1PPP/R2QKB1R w|D31|QGD|Semi-Slav, Junge Variation |
rnb1k1nr/p3qppp/2p1p3/1p6/PbpP4/2N1PN2/1P1B1PPP/R2QKB1R w|D31|QGD|Semi-Slav, Koomen Variation |
rnbqkbnr/pp3ppp/2p1p3/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w|D31|QGD|Semi-Slav, Noteboom Variation |
rnbqkbnr/pp3ppp/2p1p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w|D31|QGD|Semi-Slav|
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP1B2/2N5/PP2PPPP/R2QKBNR b|D35|QGD|Harrwitz attack|
rnbqk2r/ppp1bppp/4p3/3p2B1/2PPn3/2N1P3/PP3PPP/R2QKBNR w|D53|QGD|Lasker Variation |
rn1q1rk1/pbp1bppp/1p3n2/3pN1B1/3P4/2NBP3/PP3PPP/R2QK2R b|D55|QGD|Pillsbury attack|
rn3rk1/p1p1qpp1/1p2b2p/3p4/3P4/4PN2/PP3PPP/2RQKB1R w|D59|QGD|Tartakower Variation |
rnbq1rk1/p1p1bpp1/1p2p2p/3n4/3P3B/2N1PN2/PP3PPP/R2QKB1R w|D59|QGD|Tartakower (Makagonov-bondarevsky) system, 8.cd Nxd5|
rnbq1rk1/p1p1bpp1/1p2pn1p/3p4/2PP3B/2N1PN2/PP3PPP/R2QKB1R w|D58|QGD|Tartakower (Makagonov-bondarevsky) system|
rnb2rk1/ppp1qpp1/4p2p/3P4/3P4/2P1PN2/P4PPP/R2QKB1R b|D57|QGD|Lasker defense, Main line|
rnb2rk1/ppp2pp1/3q3p/3p4/3P4/1QP1PN2/P4PPP/R3KB1R w|D57|QGD|Lasker defense, bernstein Variation |
r4rk1/pp1bqpp1/2n1pn1p/2p5/2BP4/2N1PN2/PPQ2PPP/R2R2K1 w|D56|QGD|Lasker defense, Russian Variation |
rnb2rk1/ppp1qpp1/4p2p/3p4/2PPn3/2N1PN2/PPQ2PPP/R3KB1R b|D56|QGD|Lasker defense, Teichmann Variation |
rnbq1rk1/ppp1bpp1/4p2p/3p4/2PPn2B/2N1PN2/PP3PPP/R2QKB1R w|D56|QGD|Lasker defense|
rnbq1rk1/ppp1bpp1/4pn1p/3p4/2PP3B/2N1PN2/PP3PPP/R2QKB1R b|D55|QGD|Neo-Orthodox Variation , 7.bh4|
r1bq1rk1/pp1n1pp1/2p1pb1p/8/2BP4/2N1PN2/PP3PPP/2RQ1RK1 b|D55|QGD|Petrosian Variation |
rnbq1rk1/ppp1bpp1/4pB1p/3p4/2PP4/2N1PN2/PP3PPP/R2QKB1R b|D55|QGD|Neo-Orthodox Variation , 7.bxf6|
rnbq1rk1/ppp1bpp1/4pn1p/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w|D55|QGD|Neo-Orthodox Variation |
r1bq1rk1/pppnbppp/4pn2/3p2B1/2PP4/2NBPN2/PP3PPP/R2QK2R b|D60|QGD|Orthodox defense, Botvinnik Variation |
r1bq1rk1/pppnbppp/4pn2/3p2B1/2PP4/1QN1PN2/PP3PPP/R3KB1R b|D60|QGD|Orthodox defense, Rauzer Variation |
r1bq1rk1/pp1nbppp/4pn2/2pP2B1/3P4/2N1PN2/PPQ2PPP/R3KB1R b|D62|QGD|Orthodox defense, 7.Qc2 c5, 8.cd (Rubinstein)|
r1bq1rk1/pppnbppp/4pn2/3p2B1/2PP4/2N1PN2/PPQ2PPP/R3KB1R b|D61|QGD|Orthodox defense, Rubinstein Variation |
r1bq1rk1/1ppnbppp/p3pn2/3P2B1/3P4/2N1PN2/PP3PPP/2RQKB1R b|D63|QGD|Orthodox defense, Swiss, Karlsbad Variation |
r1bq1rk1/1ppnbppp/p3pn2/3p2B1/2PP4/2N1PN2/PP3PPP/2RQKB1R w|D63|QGD|Orthodox defense, Swiss (Henneberger) Variation |
r1bq1rk1/p1pnbppp/1p3n2/1B1p2B1/3P4/2N1PN2/PP3PPP/2RQK2R b|D63|QGD|Orthodox defense, Capablanca Variation |
r1bq1rk1/p1pnbppp/1p3n2/3p2B1/3P4/2NBPN2/PP3PPP/2RQK2R b|D63|QGD|Orthodox defense, Pillsbury attack|
r1bq1rk1/p2nbppp/2p1pn2/1p4B1/2BP4/2N1PN2/PP3PPP/2RQK2R w|D66|QGD|Orthodox defense, bd3 line, Fianchetto Variation |
r1bq1rk1/pp1nbppp/2p1p3/3n2B1/2BP4/2N1PN2/PP3PPP/2RQK2R w|D67|QGD|Orthodox defense, bd3 line, Capablanca freeing manoevre|
r1bq1rk1/pp1nbppp/2p1p3/3n2B1/2BP3P/2N1PN2/PP3PP1/2RQK2R b|D67|QGD|Orthodox defense, bd3 line, Janowski Variation |
r1b2rk1/pp1nqppp/2p1p3/3n4/2BP4/2N1PN2/PP3PPP/2RQK2R w|D67|QGD|Orthodox defense, bd3 line|
r1b2rk1/pp1nqppp/2p1p3/3n4/2BPN3/4PN2/PP3PPP/2RQK2R b|D67|QGD|Orthodox defense, bd3 line, Alekhine Variation |
r1b2rk1/pp1nqppp/2p1p3/3n4/2BP4/2N1PN2/PP3PPP/2RQ1RK1 b|D67|QGD|Orthodox defense, bd3 line, 11.O-O|
r1b2rk1/pp1nqppp/2p5/4p3/2BP4/2R1PN2/PP3PPP/3Q1RK1 w|D68|QGD|Orthodox defense, Classical Variation |
r1b2rk1/pp1nqppp/2p5/4p3/2BP4/2R1PN2/PP3PPP/1Q3RK1 b|D68|QGD|Orthodox defense, Classical, 13.d1b1 (Maroczy)|
r1b2rk1/pp1nqppp/2p5/4p3/2BP4/2R1PN2/PPQ2PPP/5RK1 b|D68|QGD|Orthodox defense, Classical, 13.d1c2 (Vidmar)|
r1b2rk1/pp3ppp/2p5/4q3/2B5/2R1P3/PP3PPP/3Q1RK1 w|D69|QGD|Orthodox defense, Classical, 13.de|
r1bq1rk1/pp1nbppp/2p1pn2/3p2B1/2PP4/2NBPN2/PP3PPP/2RQK2R b|D66|QGD|Orthodox defense, bd3 line|
r1bq1rk1/1p1nbppp/p1p1pn2/3p2B1/2PP4/P1N1PN2/1PQ2PPP/2R1KB1R b|D64|QGD|Orthodox defense, Rubinstein attack, Gruenfeld Variation |
r1bq1rk1/1p1nbppp/p1p1pn2/3P2B1/3P4/2N1PN2/PPQ2PPP/2R1KB1R b|D65|QGD|Orthodox defense, Rubinstein attack, Main line|
r1bq1rk1/1p1nbppp/p1p1pn2/3p2B1/2PP4/2N1PN2/PPQ2PPP/2R1KB1R w|D64|QGD|Orthodox defense, Rubinstein attack, Karlsbad Variation |
r1bq1rk1/pp1nbppp/2p1p3/3p2B1/2PPn3/2N1PN2/PPQ2PPP/2R1KB1R w|D64|QGD|Orthodox defense, Rubinstein attack, Wolf Variation |
r1bq1rk1/pp1nbppp/2p1pn2/3p2B1/2PP4/2N1PN2/PPQ2PPP/2R1KB1R b|D64|QGD|Orthodox defense, Rubinstein attack (with Rc1)|
r1bq1rk1/pp1nbppp/2p1pn2/3p2B1/2PP4/2N1PN2/PP3PPP/2RQKB1R w|D63|QGD|Orthodox defense|
r1bq1rk1/pppnbppp/4pn2/3p2B1/2PP4/2N1PN2/PP3PPP/2RQKB1R b|D63|QGD|Orthodox defense, 7.Rc1|
r1bq1rk1/pppnbppp/4pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w|D60|QGD|Orthodox defense|
rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b|D55|QGD|6.Nf3|
rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/2RQKBNR b|D54|QGD|Anti-neo-Orthodox Variation |
rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR w|D53|QGD|4.bg5 be7, 5.e3 O-O|
rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w|D53|QGD|4.bg5 be7|
rnb1kb1r/pp3ppp/1q2pn2/2pP2B1/3P4/2N5/PP2PPPP/R2QKBNR w|D50|QGD|Canal (Venice) Variation |
rnbqkb1r/pp3ppp/4pn2/2pP2B1/3P4/2N5/PP2PPPP/R2QKBNR b|D50|QGD|Semi-Tarrasch|
rnbqkb1r/1p3ppp/p4n2/1N1pp1B1/Q1P5/2N5/PP2PPPP/R3KB1R b|D50|QGD|Semi-Tarrasch, Krause Variation |
rnbqkb1r/pp3ppp/4pn2/3p2B1/2PQ4/2N2N2/PP2PPPP/R3KB1R b|D50|QGD|Semi-Tarrasch, Primitive Pillsbury Variation |
rnbqkb1r/pp3ppp/4pn2/2pp2B1/2PP4/2N5/PP2PPPP/R2QKBNR w|D50|QGD|been-Koomen Variation |
r1bqk2r/pppn1ppp/4pn2/3p2B1/1bPP4/2N1P3/PP3PPP/R2QKBNR w|D51|QGD|Manhattan Variation |
r1bqkb1r/pp1n1ppp/2p1pn2/3p2B1/2PP4/P1N1P3/1P3PPP/R2QKBNR b|D51|QGD|Capablanca anti-Cambridge Springs Variation |
r1b1kb1r/pp1n1ppp/2p1pB2/q2p4/2PP4/2N1PN2/PP3PPP/R2QKB1R b|D52|QGD|Cambridge Springs defense, Capablanca Variation |
r1b1kb1r/pp1n1ppp/2p1p3/q2n2B1/3P4/2N1PN2/PP3PPP/R2QKB1R w|D52|QGD|Cambridge Springs defense, Yugoslav Variation |
r1b1kb1r/pp1n1ppp/2p1pn2/q2P2B1/3P4/2N1PN2/PP3PPP/R2QKB1R b|D52|QGD|Cambridge Springs defense, 7.cd|
r1b2rk1/pp1n1ppp/2p1pn2/q2p4/1bPP3B/2N1P3/PPQN1PPP/R3KB1R b|D52|QGD|Cambridge Springs defense, Argentine Variation |
r1b1k2r/pp1n1ppp/2p1pn2/q2p2B1/1bPP4/2N1P3/PPQN1PPP/R3KB1R b|D52|QGD|Cambridge Springs defense, bogoljubow Variation |
r1b1kb1r/pp1n1ppp/2p1pn2/q5B1/2pP4/2N1P3/PP1N1PPP/R2QKB1R w|D52|QGD|Cambridge Springs defense, Rubinstein Variation |
r1b1kb1r/pp1n1ppp/2p1pn2/q2p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w|D52|QGD|Cambridge Springs defense|
r1bqkb1r/pp1n1ppp/2p1pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b|D52|QGD|Capablanca anti-Cambridge Springs Variation |
r1bqkb1r/pp1n1ppp/2p1pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR w|D51|QGD|5...c6|
r1bqkb1r/pppn1ppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR b|D51|QGD|Alekhine Variation |
r1bqkb1r/pp1n1ppp/2p1pn2/3p2B1/2PPP3/2N2N2/PP3PPP/R2QKB1R b|D51|QGD|Alekhine Variation |
r1b1kb1r/pp1n1ppp/2p1pn2/q2p4/2PP4/2N2N2/PP1BPPPP/2RQKB1R b|D51|QGD|Rochlin Variation |
r1bqkb1r/pppn1ppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w|D51|QGD|4.bg5 Nbd7|
rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR b|D50|QGD|4.bg5|
r1bqrnk1/ppp1bppp/5n2/3p2B1/3P4/2NBP3/PPQ1NPPP/2KR3R b|D35|QGD|Exchange, chameleon Variation |
rnbqkb1r/pp3ppp/2p2n2/3p2B1/3P4/2N5/PPQ1PPPP/R3KBNR b|D36|QGD|Exchange, positional line, 6.Qc2|
rnbqkb1r/pp3ppp/2p2n2/3p2B1/3P4/2N5/PP2PPPP/R2QKBNR w|D35|QGD|Exchange, positional line, 5...c6|
rnbqkb1r/ppp2ppp/5n2/3p2B1/3P4/2N5/PP2PPPP/R2QKBNR b|D35|QGD|Exchange, positional line|
r1bqkb1r/pppn1ppp/5n2/3p4/3P1B2/2N2N2/PP2PPPP/R2QKB1R b|D35|QGD|Exchange, Saemisch Variation |
rnbqkb1r/ppp2ppp/4pn2/3P4/3P4/2N5/PP2PPPP/R1BQKBNR b|D35|QGD|Exchange Variation |
rnbqk2r/ppp2ppp/4pn2/6B1/1bpP4/2N2N2/PP2PPPP/R2QKB1R w|D39|QGD|Ragozin, Vienna Variation |
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w|D38|QGD|Ragozin Variation |
rnbqk2r/ppp1bppp/4pn2/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R b|D37|QGD|Classical Variation (5.bf4)|
rnbqkb1r/pp3ppp/4pn2/2pp2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b|D40|QGD|Semi-Tarrasch defense, Pillsbury Variation |
r1bqkb1r/pp3ppp/2n1p3/2pn4/3P4/2NBPN2/PP3PPP/R1BQK2R b|D42|QGD|Semi-Tarrasch, 7.bd3|
rnbqkb1r/pp3ppp/4p3/2pn4/3P4/2N1PN2/PP3PPP/R1BQKB1R b|D41|QGD|Semi-Tarrasch with e3|
rnbq1rk1/pp3ppp/4p3/1B6/3PP3/5N2/P2Q1PPP/R3K2R b|D41|QGD|Semi-Tarrasch, Kmoch Variation |
rnb1k2r/pp3ppp/4p3/q7/1b1PP3/5N2/P2B1PPP/R2QKB1R w|D41|QGD|Semi-Tarrasch, San Sebastian Variation |
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/2N2N2/PP2PPPP/R1BQKB1R b|D41|QGD|Semi-Tarrasch, 5.cd|
r1b2rk1/pp2qppp/2n1pn2/2bp4/2P1P3/2NB1N2/PP2QPPP/R1B2RK1 b|D40|QGD|Semi-Tarrasch, Levenfish Variation |
r1bq1rk1/pp3ppp/2nbpn2/2pp4/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 w|D40|QGD|Semi-Tarrasch, Symmetrical Variation |
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w|D40|QGD|Semi-Tarrasch defense|
rnbqkb1r/p4p2/2p1pP1p/1p2N3/2pP3p/2N5/PP3PPP/R2QKB1R b|D44|QGD Semi-Slav|Ekstrom Variation |
r1bqkb1r/p2n1p2/2p1pn2/1p2P1B1/2pP4/2N3P1/PP3P1P/R2QKB1R b|D44|QGD Semi-Slav|Anti-Meran, Lilienthal Variation |
r1bqkb1r/p2n1p2/2p1pn2/1p2P1B1/2pP4/2N2Q2/PP3PPP/R3KB1R b|D44|QGD Semi-Slav|Anti-Meran, Szabo Variation |
rnbqkb1r/p4p2/2p1p2p/1p1nP1N1/2pP3B/2N5/PP3PPP/R2QKB1R w|D44|QGD Semi-Slav|Anti-Meran, Alatortsev system|
rnbqkb1r/p4p2/2p1pn1p/1p2P1N1/2pP3B/2N5/PP3PPP/R2QKB1R b|D44|QGD Semi-Slav|Anti-Meran gambit|
rnbqkb1r/pp3ppp/2p1pn2/6B1/2pPP3/2N2N2/PP3PPP/R2QKB1R b|D44|QGD Semi-Slav|Botvinnik system (anti-Meran)|
rnbqkb1r/pp3ppp/2p1pn2/6B1/2pP4/2N2N2/PP2PPPP/R2QKB1R w|D44|QGD Semi-Slav|5.bg5 dc|
rnb1kb1r/pp3pp1/2p1pq1p/3p4/2PP4/1QN2N2/PP2PPPP/R3KB1R b|D43|QGD Semi-Slav|Hastings Variation |
rnbqkb1r/1p3ppp/p1p1pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R w|D45|QGD Semi-Slav|Accelerated Meran (Alekhine Variation )|
r1bqk2r/pp1n1ppp/2p1pn2/3p4/1bPP4/2NBPN2/PP3PPP/R1BQK2R w|D46|QGD Semi-Slav|Romih Variation |
r1bqk2r/pp1n1ppp/2pbpn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQK2R w|D46|QGD Semi-Slav|Chigorin defense|
r1bqk2r/pp1nbppp/2p1pn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQK2R w|D46|QGD Semi-Slav|bogolyubov Variation |
r1bqkb1r/3n1ppp/p1p1pn2/8/1p1PP3/2NB1N2/PP3PPP/R1BQK2R w|D48|QGD Semi-Slav|Meran, Pirc Variation |
r1bqkb1r/3n1ppp/p3pn2/1pp5/3PP3/2NB1N2/PP3PPP/R1BQK2R w|D48|QGD Semi-Slav|Meran|
r1bqkb1r/3n1ppp/p3pn2/1ppP4/4P3/2NB1N2/PP3PPP/R1BQK2R b|D48|QGD Semi-Slav|Meran, ReynOlds' Variation |
r1bqkb1r/3n1ppp/p3pn2/1pp1P3/3P4/2NB1N2/PP3PPP/R1BQK2R b|D48|QGD Semi-Slav|Meran, Old Main line|
r1bqkb1r/3n1ppp/p3pn2/1N2P3/3p4/3B1N2/PP3PPP/R1BQK2R b|D49|QGD Semi-Slav|Meran, blumenfeld Variation |
r1bqkb1r/3n1ppp/p3p3/1N2P3/3p2n1/3B1N2/PP3PPP/R1BQK2R w|D49|QGD Semi-Slav|Meran, Rabinovich Variation |
r1bqkb1r/5ppp/p3pn2/1N2n3/3p4/3B1N2/PP3PPP/R1BQK2R w|D49|QGD Semi-Slav|Meran, Sozin Variation |
r1bqkb1r/5ppp/4pn2/1p2N3/3p4/3B1Q2/PP3PPP/R1B1K2R b|D49|QGD Semi-Slav|Meran, Stahlberg Variation |
r1bqkb1r/5ppp/4pn2/1p2N3/3p4/3B4/PP3PPP/R1BQ1RK1 b|D49|QGD Semi-Slav|Meran, Sozin Variation |
r3kb1r/5ppp/b3pn2/1p1qN1B1/3p4/3B4/PP2QPPP/R4RK1 b|D49|QGD Semi-Slav|Meran, Rellstab attack|
r1bqkb1r/3n1ppp/p1p1pn2/1p6/3P4/2NBPN2/PP3PPP/R1BQK2R w|D48|QGD Semi-Slav|Meran, 8...a6|
r1bqkb1r/p2n1ppp/2p1pn2/8/1p1P4/2NBPN2/PP3PPP/R1BQK2R w|D47|QGD Semi-Slav|neo-Meran (Lundin Variation )|
r2qkb1r/pb1n1ppp/2p1pn2/1p6/3P4/2NBPN2/PP3PPP/R1BQK2R w|D47|QGD Semi-Slav|Meran, Wade Variation |
r1bqkb1r/p2n1ppp/2p1pn2/1p6/2BP4/2N1PN2/PP3PPP/R1BQK2R w|D47|QGD Semi-Slav|Meran Variation |
r1bqkb1r/pp1n1ppp/2p1pn2/8/2BP4/2N1PN2/PP3PPP/R1BQK2R b|D47|QGD Semi-Slav|7.bc4|
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQK2R b|D46|QGD Semi-Slav|6.bd3|
r1bqkb1r/pp1n1ppp/2p1pn2/3pN3/2PP4/2N1P3/PP3PPP/R1BQKB1R b|D45|QGD Semi-Slav|Rubinstein (anti-Meran) system|
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2N1PN2/PPQ2PPP/R1B1KB1R b|D45|QGD Semi-Slav|Stoltz Variation |
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R w|D45|QGD Semi-Slav|5...Nd7|
rnbqkb1r/pp4pp/2p1p3/3p1p2/2PPn3/2NBPN2/PP3PPP/R1BQK2R w|D45|QGD Semi-Slav|Stonewall defense|
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b|D45|QGD Semi-Slav|5.e3|
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w|D43|QGD Semi-Slav|Semi-Tarrasch, 7.bd3|
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b|D37|QGD|4.Nf3|
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w|D35|QGD|3...Nf6|
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b|D31|QGD|3.Nc3|
rnbqk2r/ppp2ppp/4pn2/3p2B1/1bPP4/5N2/PP2PPPP/RN1QKB1R w|D30|QGD|Vienna Variation |
